5,1000,1000,0.5,0.002
1,1000,1000,0.10377358490566035,0.0
5,1000,1000,0.6037735849056604,0.012
5,1000,1000,0.5,0.225
5,1000,1000,0.5,0.003
25,1000,1000,0.5,0.01
25,1000,2000,0.5,0.045
25,1000,6000,0.5,0.01
5,1000,11236,0.5,0.007
5,1000,11236,0.5,0.044
5,1000,4900,0.6698113207547169,0.0
5,1000,2500,0.30188679245283023,0.091
5,900,1000,0.30188679245283023,0.03
10,900,1000,0.5,0.07
20,900,1000,0.5,0.08
42,1000,1000,0.5,0.084
10,1000,1000,0.5,0.083
10,1000,1000,0.5,0.083
10,1000,1000,0.5,0.084
5,100,1000,0.5,0.03
5,100,1000,0.5,0.04
5,100,1000,0.5,0.04
5,100,1000,0.5,0.12
15,100,1000,0.5,0.12
5,500,1000,0.5,0.104
5,500,1000,0.5,0.104
5,500,1000,0.5,0.104
5,500,1000,0.5,0.052
